length,maturity,cruise,x,y,width,height,image_name,ID,Alternative view ID,position,event,net,board
34,FS1,JR255A,469,751,869,114,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-1,JR255A_krill_image_74.JPG-1,Dorsal,78,2,3
23,J,JR255A,1368,869,537,118,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-2,JR255A_krill_image_74.JPG-2,Dorsal,78,2,3
25,J,JR255A,2207,851,560,123,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-3,JR255A_krill_image_74.JPG-3,Dorsal,78,2,3
29,J,JR255A,3172,819,746,168,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-4,JR255A_krill_image_74.JPG-4,Dorsal,78,2,3
40,MS1,JR255A,4319,783,1038,191,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-5,JR255A_krill_image_74.JPG-5,Dorsal,78,2,3
41,MS2,JR255A,232,1415,1056,205,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-6,JR255A_krill_image_74.JPG-6,Dorsal,78,2,3
43,MS2,JR255A,1333,1415,1010,196,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-7,JR255A_krill_image_74.JPG-7,Dorsal,78,2,3
23,J,JR255A,2380,1411,605,127,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-8,JR255A_krill_image_74.JPG-8,Dorsal,78,2,3
35,FS1,JR255A,3131,1388,937,159,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-9,JR255A_krill_image_74.JPG-9,Dorsal,78,2,3
44,MS3,JR255A,4291,1365,1129,182,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-10,JR255A_krill_image_74.JPG-10,Dorsal,78,2,3
46,FS2,JR255A,191,2157,1106,255,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-11,JR255A_krill_image_74.JPG-11,Dorsal,78,2,3
24,J,JR255A,1493,2212,633,168,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-12,JR255A_krill_image_74.JPG-12,Dorsal,78,2,3
30,J,JR255A,2321,2234,724,141,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-13,JR255A_krill_image_74.JPG-13,Dorsal,78,2,3
35,MS1,JR255A,3281,2184,869,205,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-14,JR255A_krill_image_74.JPG-14,Dorsal,78,2,3
34,MS1,JR255A,4478,2143,887,232,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-15,JR255A_krill_image_74.JPG-15,Dorsal,78,2,3
38,FS2,JR255A,264,2849,947,246,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-16,JR255A_krill_image_74.JPG-16,Dorsal,78,2,3
44,MS2,JR255A,1279,2849,1060,241,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-17,JR255A_krill_image_74.JPG-17,Dorsal,78,2,3
43,MS3,JR255A,2426,2844,1051,241,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-18,JR255A_krill_image_74.JPG-18,Dorsal,78,2,3
25,J,JR255A,3522,2922,646,137,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-19,JR255A_krill_image_74.JPG-19,Dorsal,78,2,3
26,J,JR255A,4519,2903,660,164,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-20,JR255A_krill_image_74.JPG-20,Dorsal,78,2,3
37,MS1,JR255A,214,3513,974,196,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-21,JR255A_krill_image_74.JPG-21,Dorsal,78,2,3
27,J,JR255A,1465,3481,683,182,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-22,JR255A_krill_image_74.JPG-22,Dorsal,78,2,3
45,MS3,JR255A,2416,3500,1060,182,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-23,JR255A_krill_image_74.JPG-23,Dorsal,78,2,3
40,MS2,JR255A,3518,3495,969,177,JR255A_krill_image_73.JPG,JR255A_krill_image_73.jpeg-24,JR255A_krill_image_74.JPG-24,Dorsal,78,2,3
